gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Map4k4,0.717682201225114,0.556896509831475,0.063,0.042,1
Cdc42ep5,0.717711813064763,0.606133059205992,0.025,0.012,1
Trmt112,0.717716537483355,1.20576168113926,0.006,0.01,1
Haus2,0.717741338386432,0.317029579932623,0.006,0.012,1
Bcl9,0.717865106261283,-0.0600028487787316,0.063,0.062,1
Gpc3,0.717867307281437,-0.0153373482435795,0.283,0.187,1
Cngb1,0.7179003412849,-0.139316132402393,0.069,0.059,1
Nr1h3,0.718026013496558,0.472735142307916,0.031,0.023,1
Top3a,0.718030029110932,0.277506970255029,0.075,0.046,1
Mrgprf,0.718034141806003,0.318507142049514,0.013,0.013,1
Hormad2,0.718076692843093,0.268127436995984,0.088,0.059,1
Rmnd5a,0.718279788916692,-0.0218705461472544,0.075,0.067,1
Mzf1,0.718284471873712,0.011680864868997,0.057,0.041,1
Zfp707,0.718481806954988,1.08025694729045,0.019,0.012,1
Vmn2r98,0.718545575215357,0.60521000590063,0.031,0.019,1
Tbc1d12,0.718563285002714,0.104956556706578,0.138,0.087,1
C130050O18Rik,0.718625010344759,0.403410267587436,0.006,0.011,1
Ddx47,0.71863443486241,0.394064505558543,0.05,0.026,1
Pidd1,0.718658370648782,0.63536813366795,0.019,0.012,1
Zfp146,0.718678476895121,0.67811209579216,0.019,0.013,1
Cmtm4,0.719003083182369,-0.0393070130279805,0.082,0.061,1
Nsun3,0.719121286495891,0.105902322391882,0.17,0.116,1
Mrpl46,0.719140701431109,0.351691539257867,0.057,0.036,1
Kcnmb2,0.719171295177989,-0.165764185627061,0.384,0.324,1
Mtch1,0.719187260405553,0.71215094714265,0.044,0.026,1
Fbxo34,0.719198284871623,-0.0294852847218277,0.088,0.067,1
Zmat3,0.719269084660357,0.190350190345182,0.063,0.051,1
G2e3,0.719295980346154,-0.180036399987833,0.057,0.049,1
Mrps11,0.719565071918519,0.210554005093184,0.075,0.046,1
Vamp5,0.719572452059325,0.680144350709802,0.025,0.015,1
S100a14,0.719740939369687,0.442905486242124,0.013,0.01,1
Gm5464,0.719747544671992,1.0107736417504,0.019,0.007,1
Cebpa,0.719851670605447,0.684089097019982,0.031,0.017,1
Mgll,0.719944329759549,0.148907906039171,0.069,0.048,1
Mamld1,0.719964020447662,0.138805756235596,0.132,0.079,1
Dcun1d4,0.719991431524127,0.121183542275745,0.119,0.078,1
Tmem246,0.720030251454262,0.447754895169569,0.044,0.039,1
Hao2,0.720151415301045,0.0363799308118269,0.038,0.035,1
9130401M01Rik.1,0.720235728858496,0.19660441770306,0.082,0.079,1
Hspb6,0.720249306424464,0.696056095140134,0.019,0.015,1
Agxt2,0.72036354059339,0.113180897982716,0.075,0.078,1
Angptl3,0.720455262363055,0.463563328492372,0.019,0.015,1
Spryd4,0.720462726234749,0.181744678136263,0.019,0.018,1
Zfp526,0.720541954766568,0.233464051603389,0.031,0.021,1
BC007180,0.720545166844965,0.0352128004591843,0.283,0.184,1
Tnpo2,0.720568548490936,0.0793016558037216,0.025,0.02,1
Fam120c,0.720576121219058,-0.0014463951404835,0.05,0.034,1
Scin,0.720737984745186,-0.124748915596029,0.151,0.108,1
Snx24,0.72076811236932,0.0777626413750134,0.27,0.165,1
1700037H04Rik,0.720812685620334,-0.0425980219702522,0.044,0.04,1
Gtpbp1,0.720816105057578,0.0960071969616596,0.063,0.04,1
Mrps35,0.720892781182685,-0.0492184879278597,0.075,0.057,1
Pcdha8,0.720980401645734,-0.243159933055142,0.176,0.148,1
Zfp429,0.721010725147108,0.46826513293086,0.019,0.013,1
Tmem205,0.721055703472591,0.644594365955173,0.025,0.018,1
Rpain,0.721103537956915,0.504722646351985,0.025,0.018,1
Fbxo45,0.721201455723282,0.580755372099084,0.044,0.025,1
Zfp644,0.721452217118451,-0.0869095892719445,0.082,0.06,1
Armc5,0.721558476173809,0.0522001820397673,0.031,0.036,1
Ash2l,0.721675794776719,0.293179611490299,0.057,0.035,1
Zscan22,0.721685732616218,0.212114847288643,0.019,0.021,1
Clic4,0.72177434754253,0.123224467059312,0.057,0.043,1
Ogt,0.721786285208253,1.32584272850203,0.013,0.006,1
Olfr877,0.721850851753663,1.35040459920688,0.013,0.004,1
Gm16039,0.721973639544105,-0.142255779307712,0.396,0.328,1
Golph3l,0.721984697936097,0.611240851839852,0.038,0.028,1
Sult2a4,0.722075359423814,0.175400136442444,0.057,0.032,1
Tmc5,0.722168123840417,0.2786849508941,0.094,0.06,1
BC022687,0.722238912770806,0.43806252743981,0.025,0.02,1
Rpl36a,0.722252548280437,0.664139610755029,0.019,0.015,1
Bivm,0.722300213995856,0.176609485080895,0.082,0.043,1
Csnk1e,0.722381370807689,0.750188246735823,0.038,0.019,1
Vmn1r70,0.722411674886637,1.29306097964071,0.013,0.004,1
Tmub2,0.722456313700033,0.45779408797678,0.019,0.017,1
Ift57,0.722466975755561,0.231500088339203,0.201,0.126,1
Zhx1,0.722501093646814,0.226741320183133,0.057,0.062,1
Pcbd2,0.722539385030548,0.429511256740003,0.075,0.043,1
Ccer1,0.722555181711436,0.292109980495645,0.013,0.012,1
2900055J20Rik,0.722608105506183,0.789469148514045,0.025,0.014,1
Ppap2a,0.722650207100178,0.376701215806187,0.126,0.104,1
Snca,0.722694223688771,0.147174656486647,0.226,0.16,1
Ndufs2,0.722745053086259,0.210527278756818,0.013,0.016,1
Nlrc5,0.722777018915929,0.475552057460148,0.075,0.049,1
Psmb3,0.722886655251765,0.576147071037569,0.019,0.012,1
Tex30,0.723241587738677,0.262052543267747,0.063,0.037,1
Ubqln2,0.723244156397492,0.575385097210786,0.013,0.011,1
Map2k6,0.723256224277726,0.424013663325638,0.107,0.072,1
Jup,0.723496762340665,0.506272550424036,0.038,0.029,1
Cbwd1,0.723586928862186,0.254631883162999,0.094,0.068,1
Socs4,0.723682899815341,0.0977339911003137,0.044,0.024,1
Psma4,0.723769930176562,0.59675437230602,0.031,0.02,1
Gsg2,0.723900096734889,0.271839975601087,0.019,0.016,1
Saysd1,0.723964583614273,0.331288759520044,0.019,0.018,1
5830462I19Rik,0.723981346119173,0.549446724149411,0.013,0.006,1
Atp6v1a,0.724057878431964,0.0811427546950165,0.088,0.065,1
