original_index,cl0_signal,cl1_signal,score,order_index,order_rank,source_loci,cl0_order_rows,cl1_order_rows,cl0_heatmap_rows,cl1_heatmap_rows,order_length,order_matches_cl0,order_matches_cl1
2276,11.5627651860781,68.3034765297007,789.777060505725,786,6344,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2277,12.3499673032761,18.5830049037933,229.499502958466,6465,8638,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2278,34.0787225436169,57.5273888183027,1960.45992219771,6062,3419,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2279,13.6570176487877,29.1655124543205,398.313918324594,2328,7935,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2280,23.3671064343832,41.5138273255635,970.058021615049,5669,5742,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2281,33.5769376604546,25.8962027868662,869.515186617096,7200,6089,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2282,27.1940797816875,35.7767803391745,972.916618875421,3107,5730,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2283,36.7334180786496,98.8912034806751,3632.61192175645,4003,1832,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2284,35.961026087634,74.3587923610912,2674.01847194216,5836,2552,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2285,37.1765980879466,62.410043528676,2320.19310491684,4174,2964,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2286,152.760340494734,177.026011914139,27042.5538564286,1789,58,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2287,34.425557402236,39.6660361076469,1365.52540294296,6942,4634,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2288,53.8854644298554,27.059426848705,1458.10978294817,6429,4402,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2289,27.2826514337093,123.612414000141,3372.47440404521,367,2017,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2290,20.5120824821565,35.6283311033056,730.811266292585,5703,6571,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2291,45.1361305236816,24.4379203857914,1103.03316426042,364,5362,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2292,58.1448117426286,28.0680793821812,1632.01319165408,5332,4006,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2293,55.2301233240803,68.3246703013357,3773.5799668199,8604,1744,9273,9273,9273,9273,9273,9273,TRUE,TRUE
